Volume(m^3),Weight(Kg),Power Consumption(kW),Airflow(CMH),Refrigerant Charge(KG),Capcity(kW)
1.975846874,359.5901808,14.97845803,14199,11.74141401,45
1.968427021,361.1300988,15.38094816,23083,9.075917535,50.4
1.951269895,383.9712894,17.36793773,22881,13.37591169,56
1.914507829,386.5479188,17.30089942,25570,14.49638777,61.5
1.45643341,247.1779981,5.939478975,11053,6.781055527,22.4
1.309438249,244.5231007,7.067462552,11125,3.805672678,28
1.735478404,291.8491866,6.483175232,12174,9.287862638,33.5
1.684176312,346.8062264,9.326184357,12319,8.168092561,40
2.156678074,378.051538,13.78710733,17960,12.77249558,50
2.302621001,401.9361856,13.86395208,21083,13.25281104,56
2.35372558,401.2953942,14.97109428,21212,10.2236368,61.5
3.544065565,578.7437727,13.8536504,24243,18.47887469,68
3.002069993,637.5097912,17.32834258,24245,17.8933504,72.5
3.214247844,697.2713738,15.3254515,24170,19.72317838,80
1.086214765,202.1245275,2.435240467,10367,7.837941045,22.4
1.114957444,201.1626391,7.850069832,13417,6.624438889,33.6
1.837228856,230.8185786,10.29432461,15519,10.35930148,40
1.84879789,265.4195013,13.53488399,15503,8.592690462,45
1.90090794,296.5415646,13.67839536,17517,9.372237877,50.4
1.823284105,299.8111618,11.46641816,17609,6.078366889,56
2.075235653,298.7973323,14.90702822,17576,6.871695682,61.6
1.650129071,360.6770167,15.565964,18832,14.73542633,67.2
1.777942118,359.4560376,19.88863232,18873,12.18295226,72.8
1.547574133,185.8110127,4.772609621,10402,6.534316164,22.4
1.217288715,197.8396278,4.61313019,20474,2.932323732,28
1.526341627,213.0904348,8.447285106,13328,8.216460382,33.6
2.011478991,239.5671151,10.15360895,15532,8.607586658,40
2.007100795,270.1976747,12.70479448,15504,7.854010443,45
1.888201933,306.327835,15.93131955,17655,10.52361762,61.6
2.277378291,359.7635822,16.55072083,18839,14.06996491,67.2
1.867240122,361.897496,17.92193478,18801,15.04050538,72.8
1.328169343,197.4332781,4.167019175,14634,6.645511741,22.4
1.265174316,216.229555,5.728967102,14569,10.20789109,28
1.258701106,217.1032671,6.78493306,14636,9.451020466,33.6
1.767664515,236.1513604,10.02595651,19394,12.07975767,39.2
1.902312767,238.4901524,9.801179536,19495,11.39858305,44.8
1.752320172,299.1051923,10.82225103,19345,18.60196279,50.4
1.772977666,301.4636449,12.33569042,19550,15.39595843,56
1.758250057,299.2633847,17.58266424,19414,12.73647282,61.6
1.582068839,308.9664587,17.06108944,19425,17.39595917,67.2
1.874747669,310.010019,22.57331134,19406,17.949747,72.8
1.262191918,191.1314935,4.385860665,10030,4.462902054,22.4
1.378295752,188.8491198,6.398582438,10388,3.910995946,28
1.371775278,210.5345013,7.444433181,11643,8.279025727,33.5
1.681210592,267.3511494,11.16548974,14551,9.10315023,40
1.987231511,313.5702068,10.61758284,15602,11.10600911,45
1.857037509,312.2140544,12.40658775,15498,7.712283176,50
2.139616965,348.1998075,14.68614421,19859,11.24135754,56
2.431925898,362.9877349,13.72553199,19969,12.76611465,61.5
2.097032178,363.912015,16.51318138,21071,13.75059102,67
0.936864285,169.9887307,6.200686484,7509,3.706195161,22.4
1.166180616,169.9665624,10.04342447,9289,4.04192654,28
1.817951073,214.3644532,5.112820439,9480,6.961808826,22.4
1.086401094,209.7358453,9.247543254,10405,6.643325077,28
1.659498783,211.8141887,8.958631774,10640,7.201970617,33.5
1.378165231,296.0039419,14.43081039,11945,11.03582738,45
1.74782068,314.0803553,16.319472,11783,12.03767586,50
1.306595834,208.4256066,2.942085285,10155,5.606894869,22.4
1.760456098,210.3799807,8.048327921,10295,4.520468249,28
1.603135624,231.9790897,8.928197611,11526,9.041229157,33.5
2.104928548,334.014342,13.77500947,15662,9.891026197,45
1.857553182,331.1782624,15.76347556,15374,12.67766995,50
2.436876146,382.1396667,17.08087488,19883,10.63190104,56
2.321341779,397.1038776,20.95830396,19930,9.748687679,61.5
1.453753307,221.2670443,5.896474463,11188,9.310754679,28
1.25893387,223.3822314,7.527422789,12129,7.660763841,33.5
1.242058354,246.2201301,10.35181538,13539,8.184545454,40
1.619480295,245.8801368,10.38008573,13764,9.777746102,45
1.898308399,285.9837647,14.16581455,17242,7.997785415,50.4
2.02249479,368.1786852,16.52006031,17269,10.48202923,56
2.05728644,370.64362,15.78916331,18106,8.82538703,61.5
2.048069031,370.4580811,17.01896664,18246,12.10553324,68
1.999257281,373.0138298,18.48141454,19266,9.372661483,73.5
1.383402718,253.2963825,6.136937973,11243,12.5758383,22.4
1.430725711,253.6674731,4.331576642,11236,12.86245956,28
1.863834975,280.630331,7.844790256,13191,10.67812373,33.5
1.781253426,280.080661,11.03559641,13289,9.826151659,40
1.790205073,279.3362127,12.45696431,13865,11.05777629,45
1.927369838,276.3586526,16.8228069,13767,12.04485772,50
1.632697233,226.2841181,8.014527696,12093,7.11025628,25
1.462812752,225.7492353,8.401742855,12174,7.48097912,28
1.385954949,227.2339934,8.91066362,12031,9.41198947,33.5
2.076156138,292.8407044,12.16883482,14123,12.46131615,40
1.639759449,290.2816127,15.68334222,14233,10.77535467,45
2.400520823,430.5725634,12.0836847,18913,14.61548449,50
2.076926228,429.0459921,14.54159721,21079,13.69378571,56
2.408532321,429.8589994,14.14747195,22244,18.08269994,61.5
1.552790922,225.5812826,9.19125707,12165,9.488106076,28
1.67745638,222.8063147,8.424850586,12104,11.23473103,33.5
2.012475765,291.8362918,12.45504949,14202,14.21964768,40
2.116676762,288.2140824,12.42721132,14152,10.27529756,45
2.246267015,288.598465,14.06846627,14065,11.7621356,50
2.65587131,429.2546312,17.09965561,25980,18.17833832,56
2.386621432,427.3450328,22.01399349,25999,16.28688719,67
2.459359356,462.1768377,21.73777852,27234,19.41058996,73
2.376537293,488.3766284,25.69932777,27197,22.45096388,78.5
2.054626128,487.0393015,27.0029318,27180,24.05780059,85
2.497875742,489.0682556,26.11578931,27220,24.03067989,90
1.612476895,225.5204832,6.04340709,12098,4.908643317,25
1.586805407,226.6711436,6.901019243,12203,8.182645345,28
1.67758505,224.3354125,7.674737356,12150,12.7103456,33.5
2.095071253,288.2580174,9.517442173,14130,9.503288388,40
1.805307918,291.0583144,12.45437828,14283,13.01262848,45
2.115486293,289.1677651,16.00488842,14180,13.06608674,50
2.260292203,429.9551756,21.16760809,26042,17.30530602,61.5
2.547266811,428.3922446,21.06688053,26046,18.48754884,67
3.21493281,451.4871205,22.5615723,27323,17.70699841,73
2.963690033,487.280026,27.63756459,27275,20.61297825,85
2.969016395,490.2453698,28.15337805,27219,22.83185052,90
1.99451138,279.3358694,5.658986973,15110,10.54958363,25.4
1.825114876,277.4281954,7.754122737,15098,10.89818265,28.9
1.720487383,278.4579845,7.885418876,15158,7.877171175,34.8
1.88819498,279.5999064,9.794663336,15200,10.32439125,41.5
2.248634988,342.2161404,13.0100757,16381,7.806301362,51.5
2.411066848,342.2595707,14.89896583,16391,11.65580185,57.8
2.263766282,368.6535783,20.91819,16406,10.29081651,63.7
2.117815825,368.640533,23.75843919,16369,9.634354986,70.4
0.533783142,73.88344967,3.568430268,3727,3.065004635,9
0.936437171,118.7739722,5.661685749,6698,5.435233534,15
0.651079451,119.588804,5.269389952,6684,1.495351624,15
0.66135013,121.7270704,6.879656973,6599,4.60462572,18
1.715102599,241.4927063,5.507631537,11446,9.010942341,22.6
1.597763972,237.6897634,5.286521037,11373,10.00167662,28
2.19872315,358.1248749,10.02878853,14251,9.211001133,33.5
2.148815312,360.7951629,10.86689353,14131,10.22154481,40
1.382294314,240.8050349,5.395285503,11256,10.96671262,23.9
1.491033133,240.8609319,7.672617996,11355,8.722921741,29.3
2.205340709,364.8723959,9.59094709,14300,7.798874047,35.1
2.013166665,369.1571186,16.04919554,14191,8.904944618,41.7
2.03468889,366.4748786,11.5338777,14339,10.15555084,45
0.404725491,107.2699022,2.309382729,7261,4.730560431,12.1
0.874370641,107.0002159,4.553788611,7376,5.846945077,14
0.73794061,107.6683392,4.584272992,7413,2.696473621,15.5
1.042851458,147.7767452,6.347250307,10400,3.896346892,22.6
0.986976836,149.5047036,7.997235144,10232,5.855854419,28
0.93941104,149.6443742,11.78667097,10133,6.801596279,31.5
1.690690998,223.4852842,1.97132422,11219,10.41971595,25.2
1.412607048,224.0104349,8.370372953,11171,6.265546408,28
1.353076737,225.0038578,10.49319124,12113,8.474128246,33.5
1.492267114,244.2231348,12.95384467,13726,13.71691646,40
1.353663742,243.5703313,13.40533551,13751,9.710564783,45
1.907763079,285.4226824,17.14079093,17161,8.436772928,50.4
2.287785218,371.5048969,17.19647602,17140,9.728654315,56
2.076186034,372.8143212,18.12090618,18245,8.686128987,61.5
1.929985616,368.779035,21.87324946,18279,10.45275829,68
2.027818664,369.7927283,25.8395896,18074,8.41822001,73.5
1.23265632,245.4265763,7.503812429,12195,9.787292401,22.4
1.431931428,244.2538894,8.105535574,12189,10.22311175,28
1.226228889,258.8338891,9.811695125,13667,10.64750018,33.5
1.387217701,256.3254848,10.0985167,13706,10.0949617,40
2.274339271,365.9517051,14.1778468,17251,9.504800683,45
2.216939531,365.0480923,15.14896021,17180,7.58956344,50
1.823316125,373.5051299,15.61992981,19065,10.75350047,56
2.170607538,375.0609297,19.51341765,19231,10.30124882,60
1.519092452,266.3426078,8.26396423,12251,10.29355237,22.4
1.593047138,273.8850528,9.061921549,12031,10.4293616,28
1.925656393,274.5110166,10.22523452,12104,10.88957519,33.6
2.302736997,370.3243614,13.56833807,15467,11.67312251,39.2
2.068165025,380.3935011,13.88360306,17386,13.88670672,44.8
2.562139353,412.1828562,16.24576637,21160,12.69940998,56
2.266213933,410.6984552,18.73123993,21205,11.47295715,61.6
2.531664729,444.4789931,24.65323352,23481,16.66149132,78.4
0.970939033,130.9663695,6.517353697,9185,8.124953359,22.4
0.58552103,133.8760477,8.961493495,9727,6.569106326,28
1.510082218,211.4133588,5.441414445,13715,6.109122638,22.4
1.557086557,210.5281673,5.629647832,13734,3.297311226,28
2.311920333,315.0602272,10.34999311,14341,7.978033616,40
2.372428243,316.1043146,13.16401677,14044,10.89068314,45
3.069617907,375.1929747,14.15934916,24430,8.020337355,50
3.179922246,375.4402222,18.61530905,24523,8.344543502,56
2.364601854,261.1445056,3.488460556,12813,6.859904121,22.4
2.283907165,263.795118,5.914453539,13428,7.495787463,28
2.616625788,287.1625639,8.668771765,14033,9.078954269,33.5
2.293659956,332.9513147,13.20667382,14113,7.485797471,45
1.377695952,227.443618,5.414008511,9203,3.712719008,14
1.682757449,228.4253623,5.222862718,9260,3.489348393,16
1.867652399,238.7545087,4.557492192,10119,9.005725517,22.4
1.796811261,242.6357495,9.815655139,10716,7.224903594,28
1.522678283,241.6942936,8.591770779,11896,9.163981012,33.5
1.833137042,329.5975963,12.5058881,12244,11.34447509,40
1.69559753,328.3477217,13.53368388,13147,11.96908413,45
1.278102114,217.4612324,5.501439251,9869,6.688739837,25.2
1.504670157,219.6880037,7.604052658,10621,7.213646155,28
1.985688412,256.1391716,9.658257726,14185,14.62831032,40
1.5379764,309.1422229,10.98749975,14855,13.59697403,45
2.252134698,323.3171783,16.01424187,14851,15.24196526,50.4
2.046920141,366.3919441,19.12106544,16646,15.62003658,56
2.450583672,445.8636405,21.9700827,22163,18.29627529,68
2.442561938,457.0640416,19.5450093,22141,21.22159555,73
2.243155053,454.9149498,28.16189666,22249,18.09722114,78.5
1.617837602,224.606761,5.936462947,11066,9.45525301,25.2
1.509096673,225.351838,4.852329464,11192,9.262332247,28
1.350902918,234.7319167,7.634327948,11735,10.91283565,33.5
2.037919271,269.1461819,12.88509398,13724,13.75950851,40
1.93174143,269.1977333,15.51940388,14291,10.11747873,45
2.034261026,330.1323835,12.90929152,15732,11.60471238,50.4
1.775085783,351.134777,17.38329623,19249,13.81950861,56
2.025185972,349.3043923,18.86158647,19201,16.5610305,61.5
2.425341598,381.3094969,20.425012,23130,21.27929514,68
2.394175718,400.0145652,19.58513198,26275,21.57161023,73
2.39036726,399.594425,22.65414827,26254,22.20966185,78.5
3.351973856,502.0845762,26.32144474,27121,24.8327387,85
3.139007248,497.9266487,27.92892328,27189,22.84335849,90
3.410471736,499.6054152,27.5797265,29183,27.29539256,95
3.328144741,500.6816041,34.57531319,29214,28.24115,100
0.572003227,71.85996057,5.73189342,4811,2.047442652,11.2
0.711391495,75.92496191,4.179926674,4729,7.029419452,14
0.832625573,115.3059817,6.19776309,7554,4.907677263,20
0.467536747,113.1300413,6.93052046,7563,6.663092689,22.4
0.757614976,111.4025951,9.244252786,8433,7.984555637,24
1.336241718,185.3075779,3.359651249,7464,5.430846232,16
1.595797802,187.1354345,5.678168533,10951,4.787240592,22.4
1.875749863,212.8852888,8.612686822,10761,8.691702206,28
1.810656116,216.182594,6.764825147,11791,8.37887913,33.5
1.695684089,277.1942671,8.088069606,13404,9.750085548,40
1.899680003,273.5283931,9.291128551,13107,9.021086917,45
1.765264884,293.3615927,14.93690312,16368,12.24063778,50
1.804174673,291.6769213,14.88274094,18106,10.97494872,56
1.359083506,184.5132472,4.85460511,7336,5.705421949,16
1.464741854,194.2744512,7.821581622,10154,6.343021677,28
1.641083046,193.685923,8.957376185,10942,6.342966323,33.5
1.775631364,285.043271,12.24376679,14326,10.20439581,40
1.751763142,288.5478275,11.67193522,14377,11.82494771,45
1.53281884,176.1090089,3.739425557,7452,5.592432174,16
1.371613791,177.1026901,6.127900675,10976,4.624774331,22.4
1.303167411,185.817932,8.3857473,10850,6.61324639,28
1.629673049,187.9783331,8.230107256,11725,5.992084784,33.5
1.93172789,216.6333961,9.142435362,15789,6.927187231,40
1.79826886,261.3371592,13.30789613,15692,9.523272312,45
1.955257153,260.3082675,14.57558818,15710,8.287620747,50
1.465942421,219.0861523,7.526578747,10976,5.779036202,25.2
1.431955692,237.7675408,9.399328149,11112,12.12038472,33.5
2.089401787,296.4670473,12.1367207,14285,12.91956708,40
1.75144118,299.1009153,14.138407,14236,16.82950519,45
1.984963402,340.6463295,14.58128739,15702,12.29512602,56
2.165350912,339.4257075,18.52201849,15890,15.5345107,61.5
1.595459163,231.4286624,3.816590812,11313,9.855940379,25.2
1.601855377,227.7845895,5.754942547,11053,12.08207096,28
1.540691466,226.2439141,8.107110256,11311,12.80532695,33.5
2.253051011,277.0048537,8.580240983,13336,14.51514736,40
2.161609591,279.4518883,12.19433926,13352,7.937414276,45
2.43245948,345.8038093,11.29820348,17339,16.61510997,50
2.346167124,350.0306482,18.75208188,17283,16.1762594,56
1.981806133,347.1800858,17.97668638,17446,17.83873052,61.5
3.032468473,428.9081542,16.44828055,25247,21.92059294,67
2.726850761,430.2276319,21.1625267,25266,20.12323721,73
2.959863875,428.0664789,21.51499292,25287,22.27321233,78.5
2.904984113,474.3733999,24.95973487,24329,26.81538239,85
1.324009921,221.4632362,5.442923108,11786,5.011553568,22.4
1.331993326,224.3097835,8.029088129,11682,5.624655391,28
1.736524929,285.4773459,11.00891716,11687,5.775106295,33.5
2.042695566,362.8720031,10.68286304,14294,10.07308957,40
2.141323885,358.0973869,14.1038065,14348,10.57764768,45
2.24642966,359.5292151,16.30327028,23221,8.382773558,50.4
1.857076041,383.8985538,18.50015822,22966,14.02205211,56
2.007027052,385.5122258,17.64062066,25724,14.21793873,61.5
1.586690227,247.0812553,7.627312323,11151,6.866028276,22.4
1.351875423,243.860195,6.954753362,11257,3.819131613,28
1.725598833,293.2348153,4.432926726,12179,10.53803381,33.5
1.748609018,347.4022041,9.414756059,12423,7.672381348,40
2.160045003,378.4807304,16.91620504,18046,13.53417331,50
2.377357135,402.5331452,13.15812119,21168,12.50520419,56
2.507793362,401.356755,15.45812912,21351,10.07293453,61.5
3.713970805,577.2142924,13.0081808,24368,18.36813351,68
3.262148808,637.2442745,16.09524061,24321,16.63290598,72.5
3.13838288,697.2639452,13.7596483,24202,18.36399977,80
1.229690717,202.6132246,1.512533489,10470,7.321311395,22.4
1.249203131,202.8167837,7.326179627,13582,6.230549605,33.6
1.924280075,230.8917311,11.04826241,15677,12.71144891,40
2.029999125,264.9216323,13.76194904,15553,9.627249215,45
1.964050911,297.0256239,15.40370681,17562,9.905276894,50.4
1.9423421,299.9860005,10.93799646,17780,5.534197747,56
2.251146677,298.443019,15.78830335,17673,8.370743018,61.6
1.769354657,360.4230394,14.83643845,18867,14.08505685,67.2
2.016479461,359.6140228,21.36896854,18995,11.21738835,72.8
1.703866031,184.8653767,4.309297503,10525,6.58907986,22.4
1.503721451,198.8344264,5.898748378,20615,1.832510813,28
1.716511008,213.2836366,7.431525693,13449,8.381057009,33.6
2.006491306,240.0070078,8.439904884,15643,9.989860031,40
2.016929426,269.0959828,12.50754552,15610,6.212024144,45
2.090479616,306.8029085,14.98006603,17713,11.11334555,61.6
2.418513789,360.0121661,16.94539406,18934,12.60338581,67.2
1.881759032,361.4805812,16.52702212,18966,16.66690918,72.8
1.387666016,194.8642997,3.70298485,14700,7.303694762,22.4
1.40140648,216.165366,6.478384424,14585,9.621362361,28
1.257642929,217.0137824,6.792615738,14588,8.928316457,33.6
1.75544607,236.4526931,9.118366292,19555,10.58480334,39.2
2.070472661,238.8226424,10.11429373,19538,11.86424452,44.8
1.872042422,300.1425137,9.575666091,19519,18.63488994,50.4
1.887566324,302.3896755,12.24174217,19687,16.24691837,56
1.934087332,300.1099203,17.58729538,19414,12.41935727,61.6
1.814279475,308.8585619,18.19047009,19476,16.23616056,67.2
2.072268436,310.3923006,23.23326042,19474,18.1189947,72.8
1.447890005,190.6835247,4.801422272,10050,5.661714122,22.4
1.509333916,188.7973436,6.896547787,10451,3.145996506,28
1.548879143,210.7659783,8.184179686,11755,7.535605668,33.5
1.993953619,267.3272719,10.84997831,14627,7.417443321,40
2.177773324,313.444103,9.585241103,15792,13.3672225,45
2.049522458,311.4829377,11.87957653,15548,7.562991038,50
2.245250736,347.6390632,14.28342422,19999,11.96394719,56
2.398548409,363.1674963,11.71580922,20075,11.70903436,61.5
2.184942822,365.5459417,16.55886977,21174,14.68380389,67
1.031212582,170.3473139,4.119968861,7545,4.402326449,22.4
1.126331802,168.7215682,10.8252007,9381,2.386270007,28
1.824207055,214.6128973,5.473250224,9577,6.584206019,22.4
1.273656369,211.0979885,7.822082257,10456,7.638508397,28
1.749695987,211.000993,9.492575458,10727,7.515196456,33.5
1.318361729,294.8026366,13.89711223,11979,11.18811198,45
1.862092716,314.5743906,16.91864856,11891,10.58501894,50
1.305061601,206.9856084,3.921257055,10279,3.951707011,22.4
1.670692777,212.2780342,7.905354897,10409,4.19637879,28
1.81546608,230.8492622,8.388376393,11617,9.300465548,33.5
1.998705668,334.7252425,15.04983215,15778,8.990749209,45
2.074531934,332.2487422,14.6175137,15430,13.48531788,50
2.489860392,384.467309,17.28323797,20004,10.66928952,56
2.339510286,396.2941006,21.96072308,20077,10.43827029,61.5
1.506051028,220.9752512,6.154711594,11409,11.22484174,28
1.423620801,223.298189,7.51800168,12190,7.663164614,33.5
1.379073578,246.7258248,10.20089285,13695,7.279403588,40
1.771311493,245.3471866,10.22774132,13796,10.68362786,45
2.066784942,285.6026664,15.4396734,17308,6.792416452,50.4
2.0350214,367.1762497,15.88519595,17273,9.508238639,56
2.061707969,368.8253009,16.40587716,18219,8.159786469,61.5
1.998449127,369.4719343,17.96315225,18342,11.8062789,68
1.927565199,372.2240251,17.189766,19402,9.034711298,73.5
1.525281755,253.9164889,7.214488005,11340,13.12999861,22.4
1.433426955,254.2715119,2.191554127,11320,12.61012423,28
1.906285797,280.7929945,8.357674991,13298,9.769661767,33.5
1.902938755,281.3517,10.7033547,13356,9.643716583,40
1.909834523,278.453502,14.59816456,14031,10.37532492,45
2.035377383,276.127138,16.54783482,13872,11.82902,50
1.808719671,227.4430178,9.271993612,12222,8.272649678,25
1.599267938,223.9787344,9.157096613,12290,9.158627747,28
1.418675898,227.0868342,8.58375026,12055,9.997855466,33.5
2.229350846,292.6728059,12.26305114,14233,12.27030911,40
1.733426381,289.5141813,17.88278278,14352,8.489173517,45
2.530754635,429.4184923,11.1473315,19091,13.49152081,50
1.881833381,430.9048912,15.94570524,21234,12.95306978,56
2.469524248,428.8106677,14.36193373,22373,17.54187877,61.5
1.563967152,225.7492095,9.810291912,12247,9.303335556,28
1.870815787,223.1650403,7.846703155,12278,10.55584707,33.5
2.133689116,291.2233704,13.26952648,14331,11.71910332,40
2.224858824,289.5505467,13.41559582,14146,9.874372617,45
2.477150305,287.3642259,13.98451417,14112,11.98926028,50
2.78446395,428.9047676,17.69749911,26094,18.65874954,56
2.471910584,425.7980934,20.7010425,26179,17.15665231,67
2.428792433,463.1664518,21.05008661,27332,19.97774716,73
2.523230552,488.9213798,24.24157086,27342,23.63298895,78.5
2.228984622,487.5228726,26.66068437,27302,23.73472441,85
2.577739502,488.1794916,26.55773023,27338,23.34578808,90
1.571600215,224.8318487,6.423499521,12218,3.917059674,25
1.53356196,225.4012574,7.443912109,12324,7.016930039,28
1.754575875,223.8959861,7.04937191,12193,12.22536228,33.5
2.142156034,287.8970851,9.755141099,14214,9.323111716,40
2.069474916,292.9352562,11.84453363,14303,13.80506176,45
2.219708971,288.0372024,15.43890858,14308,12.52769439,50
2.314941378,428.745291,21.53022239,26101,18.64671455,61.5
2.777414989,429.8952029,22.79387244,26221,17.22909777,67
3.238934082,451.250939,22.85960426,27412,17.03050492,73
3.163239726,486.3595369,26.76246739,27393,21.092041,85
2.913422899,490.1713422,29.26994531,27403,24.89087857,90
2.131556619,278.2251924,6.038935273,15196,10.38035209,25.4
2.032452083,278.336288,9.077461151,15117,10.29367358,28.9
1.791831007,278.9799537,8.130723371,15228,7.632787688,34.8
1.957790941,279.0964051,8.40363846,15256,8.913768028,41.5
2.078801584,341.6818913,14.15633861,16518,7.464083094,51.5
2.491881016,342.6324284,14.85695737,16577,12.72492054,57.8
2.447588579,368.9869303,20.51378882,16479,10.6056647,63.7
2.393552089,368.2776741,23.02602186,16429,9.316128575,70.4
0.763577304,75.79212721,3.265737962,3832,3.341880013,9
1.074227672,120.2388027,4.571424217,6875,5.381741328,15
0.563484961,118.9853708,4.651794278,6764,1.779212482,15
0.736135713,122.1206808,6.807211659,6714,5.120587305,18
1.939096925,243.0043295,5.296110178,11531,7.690409227,22.6
1.670235809,237.9687734,4.277486409,11434,10.43214907,28
2.347734156,357.4367046,10.04410578,14362,7.873622497,33.5
2.259272635,361.9108786,11.2513788,14305,10.2862716,40
1.561667143,240.7835677,6.016668822,11374,12.27414943,23.9
1.593584958,240.746698,9.687586534,11345,9.594700136,29.3
2.169867153,365.9933542,9.081010222,14381,7.297369865,35.1
2.039976711,368.6812697,15.44939876,14200,9.269469839,41.7
2.192223374,367.1728777,10.4148145,14369,10.53246838,45
0.453603648,107.4076185,3.025824079,7334,5.274108759,12.1
1.174710823,107.0491475,4.744601524,7477,6.225744552,14
0.790464774,106.3185803,5.165855752,7525,3.79290682,15.5
1.162960571,149.4116258,5.837582764,10534,3.372901768,22.6
1.088536319,150.804343,8.98261681,10358,5.647922302,28
1.058435638,148.9604692,11.78484805,10246,6.969959536,31.5
1.829509164,223.1116594,2.38482117,11290,11.26326089,25.2
1.506283915,222.7989129,6.599461922,11320,6.862986687,28
1.537647985,224.5242224,11.9784996,12229,7.468344489,33.5
1.574792621,243.4354687,12.1960404,13797,12.66823161,40
1.413448603,242.7664084,13.83243998,13848,10.75453622,45
1.877432514,284.3022691,16.05097841,17301,7.182698548,50.4
2.52938886,370.0075002,16.84748527,17185,10.01321935,56
2.20710997,372.4076627,19.31388163,18353,8.83940038,61.5
1.979679296,368.7480398,22.23630397,18362,11.01278535,68
2.287057999,369.231471,26.75706112,18114,9.216055197,73.5
1.261773526,247.1569662,8.556257862,12308,10.70540737,22.4
1.740163474,245.2460904,9.449311891,12260,9.75205554,28
1.296794864,259.8644993,9.43919007,13772,10.69985777,33.5
1.610431817,255.3018297,10.53324309,13822,9.131546244,40
2.402804414,365.0366261,13.97360269,17342,10.80332136,45
2.282020312,364.3261743,16.46401569,17232,6.903557973,50
1.608748673,372.5014736,15.76613799,19145,10.48672927,56
2.393264242,373.5926054,19.97391468,19263,10.29879725,60
1.796519865,265.6990655,9.6277531,12261,9.774819935,22.4
1.677330769,274.904208,7.848315602,12158,11.12611972,28
1.983669623,274.583305,9.883386452,12238,10.91133825,33.6
2.418581406,368.5862023,13.25269406,15630,12.408525,39.2
2.217145934,380.5928945,12.68197641,17386,15.07673128,44.8
2.559019243,412.4601328,17.494419,21224,11.61363132,56
2.355914521,411.1996008,18.4148318,21266,9.937617753,61.6
2.844876229,444.2089953,24.53945125,23559,15.15476162,78.4
1.085133171,130.8097968,7.846968653,9238,7.2136622,22.4
0.763013661,134.2371211,8.907178262,9813,5.900028328,28
1.669463209,210.9269588,5.968982382,13777,5.990707977,22.4
1.582249752,209.8052104,6.769014548,13877,2.415147983,28
2.310710937,314.8340062,8.665713968,14334,7.536002676,40
2.459215032,317.2762336,13.49139979,14146,10.20324672,45
3.002154416,375.681979,14.22175916,24507,8.590749731,50
3.180011843,374.8675809,20.15708928,24641,8.598356822,56
2.424366226,261.9134235,2.469334307,12839,7.421814129,22.4
2.243685629,264.3177555,6.887323209,13492,7.887238118,28
2.660047096,287.9408746,10.96076895,14125,10.0493713,33.5
2.391294987,332.6472353,13.0331952,14223,6.676752053,45
1.447124267,226.4677425,4.383232111,9298,2.855511854,14
1.637198758,228.2708892,3.837686898,9256,3.422571064,16
1.828442606,240.5156055,3.873565961,10241,9.943263817,22.4
1.859456523,243.034106,9.661950824,10832,8.430497581,28
1.645328227,240.3344861,6.347100007,12010,10.15664118,33.5
1.878505468,329.2445002,11.81262278,12298,11.88843388,40
2.10940932,329.3600646,12.96400711,13244,12.26606886,45
1.381177313,215.8095203,4.722215551,9965,5.072315294,25.2
1.598729244,218.2273518,8.634951018,10784,6.971290499,28
2.134859351,256.6943607,10.07076577,14293,13.15529784,40
1.684505341,309.5411523,11.4477492,14914,13.80084947,45
2.455316204,323.7747276,14.31142756,14898,14.32595422,50.4
2.052772733,365.1175261,19.41535031,16745,15.74645504,56
2.541169358,444.7356901,22.10485885,22281,18.46728108,68
2.375606651,455.8283159,20.39107637,22153,20.6553414,73
2.548894507,454.2638781,28.76400396,22340,18.13237674,78.5
1.443362419,224.9938338,5.585509585,11195,9.69616433,25.2
1.651000949,227.0103422,4.792058814,11329,10.74591394,28
1.400118492,234.3689203,6.516840358,11736,10.72075596,33.5
2.176493343,269.74495,11.94079702,13869,15.17534459,40
2.084894442,268.6828158,16.4893634,14444,11.26550728,45
2.007602657,330.1829887,11.76206709,15893,12.92535642,50.4
1.890545741,351.8791519,16.48304873,19374,12.67039937,56
1.989278933,350.6973906,17.89555405,19350,15.98492664,61.5
2.540465857,382.8182185,20.17398443,23159,20.59309224,68
2.549771123,402.3723738,19.63882285,26446,22.48114031,73
2.482260566,399.1501173,22.19789896,26412,23.24468372,78.5
3.488103169,501.1735915,25.79857407,27148,24.7997333,85
3.190578958,498.6531455,28.64669835,27289,21.12307829,90
3.581431344,500.4642079,28.08139242,29332,28.23292799,95
3.333529859,500.0545772,33.59235338,29323,29.23890388,100
0.726483147,71.54213526,7.982293099,4845,2.146108588,11.2
0.705596895,76.42324178,5.515789993,4875,8.164706665,14
0.71035778,115.5092038,7.031322103,7664,4.873354938,20
0.56430289,112.0814851,9.229910485,7657,7.556717966,22.4
0.78726461,112.1590192,7.282736929,8544,8.892851634,24
1.391427518,184.8722858,2.560068268,7545,4.404003329,16
1.639498381,187.2269854,5.337306348,11107,5.33484727,22.4
1.877475574,212.9164735,9.402911858,10941,8.251320497,28
2.005991971,216.6187047,6.722504295,11984,7.965690853,33.5
1.784065653,277.367749,8.091166357,13502,8.996229931,40
1.913973892,271.8821391,8.854996858,13138,8.04391702,45
